"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cellTypeName","Param: tileSize"
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.240556,0.023176,"ms/op",uint8,128
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.256158,0.049876,"ms/op",uint8,256
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.376117,0.015202,"ms/op",uint8,512
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.363162,0.067806,"ms/op",int32,128
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.736295,0.090105,"ms/op",int32,256
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,2.446864,0.491233,"ms/op",int32,512
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.334515,0.051711,"ms/op",float32,128
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.685126,0.094934,"ms/op",float32,256
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,2.166270,0.218446,"ms/op",float32,512
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,0.406981,0.087090,"ms/op",float64,128
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,1.066341,0.209002,"ms/op",float64,256
"astraea.spark.rasterframes.TileEncodeBench.encode","avgt",1,5,3.313146,0.214807,"ms/op",float64,512
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,0.820968,0.287526,"ms/op",uint8,128
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,0.894251,0.126049,"ms/op",uint8,256
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,1.160024,0.165794,"ms/op",uint8,512
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,1.041139,0.190793,"ms/op",int32,128
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,1.761370,0.365250,"ms/op",int32,256
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,5.184807,1.106678,"ms/op",int32,512
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,0.964959,0.179397,"ms/op",float32,128
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,1.536867,0.179594,"ms/op",float32,256
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,3.592288,0.547890,"ms/op",float32,512
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,1.159322,0.171522,"ms/op",float64,128
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,2.107796,0.255002,"ms/op",float64,256
"astraea.spark.rasterframes.TileEncodeBench.roundTrip","avgt",1,5,6.879554,3.132424,"ms/op",float64,512
